_id,classify,tweetId,timeTweet,tweetUrl,text_cleaned,text_origin
ObjectId("5e5072c7160e825aac3e2912"),excitement,1231009463575990274,Sat Feb 22 00:15:01 +0000 2020,https://twitter.com/Reader6666/statuses/1231009463575990274,booked car garage early doors stupid face_with_tears_of_joy cheeky run home aswel hope winds die,@alittlespoonH Booked the car in the garage early doors  stupid me 😂  With a cheeky run home aswell  hope the winds die down!
ObjectId("5e5072c7160e825aac3e2913"),excitement,1231009461558501381,Sat Feb 22 00:15:01 +0000 2020,https://twitter.com/prettigurlzpray/statuses/1231009461558501381,awe nah daddy knows call cause never like whores roling_on_the_flor_laughing ima tell lol,@A1Lex_ awe nah my daddy knows not to call me for this cause I never like any of his whores 🤣 and imma tell it all lol
ObjectId("5e5072c7160e825aac3e2914"),excitement,1231009461197774850,Sat Feb 22 00:15:01 +0000 2020,https://twitter.com/MorganKeyz/statuses/1231009461197774850,even in2 around 2016 nobody brits bro us nines building nobody awards face_with_tears_of_joy face_with_tears_of_joy,@Guru_hoe Even when In2 was out around 2016 there was noooobody at the Brits bro  us and Nines in the building but nobody up for awards 😂😂
ObjectId("5e5072c7160e825aac3e2915"),excitement,1231009461009035266,Sat Feb 22 00:15:01 +0000 2020,https://twitter.com/hannahmosho/statuses/1231009461009035266,sounds like good fuckin day lol bless itching ft call face_with_tears_of_joy face_with_tears_of_joy,@Primo_Dulce Sounds like a good FUCKIN day lol bless  and you’re itching for a FT call 😂😂
ObjectId("5e5072c7160e825aac3e2916"),excitement,1231009460358963203,Sat Feb 22 00:15:01 +0000 2020,https://twitter.com/saltyconchy/statuses/1231009460358963203,bless heart looks like drank enough kolaid cult45 go trumptanic even others shred dignity left abandon sinking ship keels face_with_tears_of_joy,@hollyhobbyPhD @AndrewBatesNC @thehill @kenvogel Bless your heart  looks like you've drank enough koolaid in #Cult45 to go down with the #Trumptanic even while others with a shred of dignity left abandon that sinking ship as it keels over 😂 https://t.co/bJvr5wPo8a
ObjectId("5e5072c7160e825aac3e2917"),excitement,1231009460291850240,Sat Feb 22 00:15:01 +0000 2020,https://twitter.com/Viciousvirgo973/statuses/1231009460291850240,nope pretty much like face_with_tears_of_joy sad part woman wrong situation submit nerve guy argue back say `` soft '' ... never win even let yal right,@EShortcake516 @KimberlyzQueen Nope you all are pretty much like that😂sad part is woman to just be wrong about a situation and submit but then have the nerve when a guy doesn't argue back and say "He to soft"...We can never win even if we let yall be right.
ObjectId("5e5072c7160e825aac3e2918"),excitement,1231009459717230593,Sat Feb 22 00:15:00 +0000 2020,https://twitter.com/ajhollobaugh/statuses/1231009459717230593,careful mate dangerously close calling “ ” word find face_with_tears_of_joy treadlightly,@Jwhitbrook Careful there mate  you’re dangerously close to calling @Marina_Sirtis the “O” word  and she will find you 😂 #treadlightly
ObjectId("5e5072c7160e825aac3e2919"),excitement,1231009459322990592,Sat Feb 22 00:15:00 +0000 2020,https://twitter.com/lizreeser49/statuses/1231009459322990592,starbucks ben ordering megan got complicated shit face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,We’re at Starbucks and Ben is ordering and Megan and I got the most complicated shit 😂😂😂😂
ObjectId("5e5072c7160e825aac3e291a"),excitement,1231009458555424770,Sat Feb 22 00:15:00 +0000 2020,https://twitter.com/PMContrarian/statuses/1231009458555424770,managing projects sometimes calls glass coronavirus wine apparently week requires two bottles roling_on_the_flor_laughing thanks may next day trip,Managing #projects sometimes calls for a glass of #coronavirus wine. Apparently  this week requires two bottles  @runjsmithrun! 🤣 Thanks  @kccellarrat! And @Raistonic  this may be our next day trip!
ObjectId("5e5072c7160e825aac3e291b"),excitement,1231009458119045120,Sat Feb 22 00:15:00 +0000 2020,https://twitter.com/brn439/statuses/1231009458119045120,amateur comes steak tell difference face_with_tears_of_joy,I’m such an amateur when it comes to steak. I can’t tell the difference between any of them 😂
