_id,classify,tweetId,timeTweet,tweetUrl,text_cleaned,text_origin
ObjectId("5e5072c7160e825aac3e2ad4"),surprise,1231009609575469064,Sat Feb 22 00:15:36 +0000 2020,https://twitter.com/illdoc_jaku/statuses/1231009609575469064,amount people kled dopo safe get sad depressed dopo realize saying,@disdoppointment THE AMOUNT OF PEOPLE I'VE KLLED FOR YOU  DOPPO. FOR YOU TO BE SAFE. AND THIS IS WHAT I GET. A SAD  DEPRESSED DOPPO.  [He doesn't realize what he's saying.]
ObjectId("5e5072c7160e825aac3e2ad5"),surprise,1231009609160241152,Sat Feb 22 00:15:36 +0000 2020,https://twitter.com/ubykotex/statuses/1231009609160241152,always want provide fiancée high-quality product trust sad hear experience certainly look like standards want learn see help 1/2,@Johnnydeuce41 We always want to provide your fiancée with a high-quality product that she can trust and we're sad to hear about her experience. This certainly doesn't look like our standards and we want to learn more and see how we can help. 1/2
ObjectId("5e5072c7160e825aac3e2ad6"),surprise,1231009607834836994,Sat Feb 22 00:15:36 +0000 2020,https://twitter.com/muntanika/statuses/1231009607834836994,fallen healthy eating wagon past week cheating heavy still lost weight cheers sad,I’ve fallen off my healthy eating wagon this past week and have been cheating heavy and I still lost weight. Cheers to being sad.
ObjectId("5e5072c7160e825aac3e2ad7"),surprise,1231009604047261697,Sat Feb 22 00:15:35 +0000 2020,https://twitter.com/b7swans/statuses/1231009604047261697,sad tik tok armys taking opportunity use dance hype house bc locals saw brought clout would,just sad that tik tok armys aren’t taking the opportunity to use the dance by the hype house bc of locals saw it brought clout they’d do it https://t.co/aJVYjfjts1
ObjectId("5e5072c7160e825aac3e2ad8"),surprise,1231009603573383168,Sat Feb 22 00:15:35 +0000 2020,https://twitter.com/MiladyMcB/statuses/1231009603573383168,defend amy watching home appreciated good moment lied `` political rhetoric '' disingenuous disappointing sad attacked others instead trump bleeding funds good moment,@JRobbo @Amy_Siskind @The_John_Powers She did defend Amy and watching at home I appreciated that. It was a good moment. Then she lied. The "political rhetoric" was disingenuous and disappointing. Sad that she attacked others  instead of Trump  because she was bleeding funds. Not a good moment.
ObjectId("5e5072c7160e825aac3e2ad9"),surprise,1231009602302550017,Sat Feb 22 00:15:34 +0000 2020,https://twitter.com/ShamconIUOE/statuses/1231009602302550017,kentucky gon na trade coal economy whatever russians eastern kentucky want build moscowmitch gets cut feed russian help truibute goes `` da boss '' sellout coal miners sad,@senatemajldr Kentucky is gonna trade coal economy for whatever those Russians in Eastern Kentucky want to build so #MoscowMitch gets his cut  he will feed any Russian help up to @potus. Truibute goes up to "da boss" a #SellOut of coal miners. @nra @vp @RNC @EngagednEnraged @McFaul @funder SAD
ObjectId("5e5072c7160e825aac3e2ada"),surprise,1231009602071695361,Sat Feb 22 00:15:34 +0000 2020,https://twitter.com/ARealCupOfOJ/statuses/1231009602071695361,true catchy moves bad vbucks sad moment,@ZappyComet True. It’s very catchy and the moves aren’t too bad! But I have no vbucks sad moment.
ObjectId("5e5072c7160e825aac3e2adb"),surprise,1231009599681155074,Sat Feb 22 00:15:34 +0000 2020,https://twitter.com/normaclaire_eoc/statuses/1231009599681155074,feel fulfilled think going take large proportions wow came mama take prize unexpected also good definitely best surprise life,@plastique_eoc I feel fulfilled. I didn't think this was going to take on such large proportions! And WOW  I came to MAMA and I take a prize (???). This is SO unexpected but it is also SO good. It is definitely the best surprise of my life.
ObjectId("5e5072c7160e825aac3e2adc"),surprise,1231009598288617472,Sat Feb 22 00:15:33 +0000 2020,https://twitter.com/feyikemi_/statuses/1231009598288617472,truth anyone could come said lying hearsay check thread see person posted tweet know saying sad many people think boy finessed,@marieemechebe Truth is anyone could have come and said he was lying because of hearsay. If you check the thread under  you'll see that the person who posted that tweet doesn't know what she's saying. It's sad that many people now think the boy finessed them
ObjectId("5e5072c7160e825aac3e2add"),surprise,1231009587043733504,Sat Feb 22 00:15:31 +0000 2020,https://twitter.com/liyah_kb/statuses/1231009587043733504,hoping pelinka bog agreement needed make space season cause ima real sad coming back,I’m hoping Pelinka and Boog have an agreement and we just needed to make space for this season. Cause imma be real sad if he not coming back.
ObjectId("5e5072c7160e825aac3e2ade"),surprise,1231009584518701057,Sat Feb 22 00:15:30 +0000 2020,https://twitter.com/cybervmin/statuses/1231009584518701057,moon literally pretty sad see many jin stans dirty jamais vu moon special me,moon is literally so pretty and i’m so sad to see so many jin stans just do her so dirty. jamais vu and moon are so special to meeeeee
ObjectId("5e5072c7160e825aac3e2adf"),surprise,1231009584443248645,Sat Feb 22 00:15:30 +0000 2020,https://twitter.com/THEPERFOURMER/statuses/1231009584443248645,listened interview entirety truth dropped bernie bros. sad,@OOOlson I listened to the interview in its entirety. Some truth was dropped and Bernie Bros. are sad.
ObjectId("5e5072c7160e825aac3e2ae0"),surprise,1231009583579172865,Sat Feb 22 00:15:30 +0000 2020,https://twitter.com/iamgoreblimey/statuses/1231009583579172865,well big climax final surprise kilercrocodile ridiculously far-fetched nonsensical silly loved every second wait see kilercrocodile2,Well - the big climax and the final surprise in #KillerCrocodile were ridiculously far-fetched  nonsensical  and silly. And I loved every second. I can't wait to see #KillerCrocodile2 now!
ObjectId("5e5072c7160e825aac3e2ae1"),surprise,1231009582371106816,Sat Feb 22 00:15:30 +0000 2020,https://twitter.com/KCEgamer/statuses/1231009582371106816,definitely kinda sad demarcus got waived opportunity win championship year lakers already center rotation locked though hopefully get picked team give role,Definitely kinda sad DeMarcus got waived when he had the opportunity to win the championship this year. Lakers already had their center rotation locked in though. Hopefully he can get picked up by a team that will give him a role
